sample,feature,short,coef,ci_lo,ci_hi
Main sample,log_HCI,Human Capital,2.5260113459204563,1.3233581448246243,3.7286645470162885
Main sample,log_GFCF,Capital Formation,0.23951877294619,0.12913961523130696,0.34989793066107305
Main sample,log_Production_Value,Production Value,-0.10523692589250057,-0.1924740316599463,-0.01799982012505484
Main sample,log_HCI_x_log_Production,HCI × Production,-0.2214605796018221,-0.6309722849305787,0.18805112572693441
Main sample,log_GFCF_x_log_Production,GFCF × Production,-0.005373441671018459,-0.06266862186238915,0.05192173852035223
Adj ≥3%,log_HCI,Human Capital,2.2822831559244596,1.0519975365875642,3.512568775261355
Adj ≥3%,log_GFCF,Capital Formation,0.17286293146589116,0.05265787217558483,0.2930679907561975
Adj ≥3%,log_Production_Value,Production Value,-0.0717989175018236,-0.18658764403655306,0.04298980903290586
Adj ≥3%,log_HCI_x_log_Production,HCI × Production,0.14573616242825593,-0.3620513843803487,0.6535237092368605
Adj ≥3%,log_GFCF_x_log_Production,GFCF × Production,0.04787902595799969,-0.021876397244218283,0.11763444916021767
Adj ≥2%,log_HCI,Human Capital,2.593103847761414,1.4681582830635647,3.718049412459264
Adj ≥2%,log_GFCF,Capital Formation,0.23103702736099713,0.12275205000636412,0.3393220047156301
Adj ≥2%,log_Production_Value,Production Value,-0.10464361701562833,-0.1910242798716289,-0.01826295415962774
Adj ≥2%,log_HCI_x_log_Production,HCI × Production,-0.1444808104952977,-0.5238566633455823,0.23489504235498693
Adj ≥2%,log_GFCF_x_log_Production,GFCF × Production,-0.009504608312140408,-0.06428124423318869,0.045272027608907875
Adj ≥1%,log_HCI,Human Capital,2.4846360209494094,1.4793121251506143,3.4899599167482043
Adj ≥1%,log_GFCF,Capital Formation,0.1943250689023039,0.08967528212957736,0.2989748556750304
Adj ≥1%,log_Production_Value,Production Value,-0.06376639233178841,-0.13166459975855185,0.004131815094975039
Adj ≥1%,log_HCI_x_log_Production,HCI × Production,-0.007035920358927694,-0.3632623725049174,0.349190531787062
Adj ≥1%,log_GFCF_x_log_Production,GFCF × Production,0.024639445205126932,-0.023433016780806344,0.07271190719106022
