reporterISO,period,cmdCode,primaryValue,reporterDesc,cmdDesc
AGO,2013,2709,65464178236.0,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2014,2709,56439535479.0,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2015,2709,31393669832.41,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2016,2709,25577532560.88,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2017,2709,31057113479.83,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
AGO,2018,2709,36580105348.991,Angola,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2013,2709,658043194.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2015,2709,91792249.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
ALB,2016,2709,155827294.0,Albania,Petroleum oils and oils obtained from bituminous minerals; crude
AND,2016,2709,779.23,Andorra,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2013,2709,106910826083.204,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2014,2709,71930898754.381,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2015,2709,31559126795.68,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2016,2709,25160688952.513,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2017,2709,31346144521.214,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARE,2018,2709,73289908401.987,United Arab Emirates,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2013,2709,1736775154.0,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2014,2709,1619632669.31,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2015,2709,670929750.82,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2016,2709,748543642.78,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2017,2709,575226736.36,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARG,2018,2709,1474856038.88,Argentina,Petroleum oils and oils obtained from bituminous minerals; crude
ARM,2015,2709,10.0,Armenia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2013,2709,8675391474.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2014,2709,9633230879.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2015,2709,4570286861.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2016,2709,3527584753.0,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2017,2709,4022643030.722,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUS,2018,2709,6053138367.212,Australia,Petroleum oils and oils obtained from bituminous minerals; crude
AUT,2015,2709,825.948,Austria,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2013,2709,20244052787.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2014,2709,18404936620.0,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2015,2709,8866158597.4,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2016,2709,10692835523.05,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2017,2709,12171339252.61,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
AZE,2018,2709,15710529347.31,Azerbaijan,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2013,2709,120103672.729,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2014,2709,131997811.763,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2015,2709,68627936.713,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2016,2709,52134320.566,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2017,2709,56586595.532,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEL,2018,2709,61818049.655,Belgium,Petroleum oils and oils obtained from bituminous minerals; crude
BEN,2014,2709,11060.0,Benin,Petroleum oils and oils obtained from bituminous minerals; crude
BEN,2015,2709,294.426,Benin,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2015,2709,4730875.0,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2016,2709,4538395.999,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGD,2018,2709,10188003.136,Bangladesh,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,2013,2709,231612.0,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,2015,2709,62027.0,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,2016,2709,214266.531,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,2017,2709,560518.49,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
BGR,2018,2709,440421.049,Bulgaria,Petroleum oils and oils obtained from bituminous minerals; crude
