period,reporterISO,reporterDesc,cmdCode,cmdDesc,primaryValue
2000,ABW,Aruba,81,"Metals; n.e.s., cermets and articles thereof",139101.0
2000,AIA,Anguilla,81,"Metals; n.e.s., cermets and articles thereof",4325.0
1996,ALB,Albania,81,"Metals; n.e.s., cermets and articles thereof",25235.0
1997,ALB,Albania,81,"Metals; n.e.s., cermets and articles thereof",470.0
1999,ALB,Albania,81,"Metals; n.e.s., cermets and articles thereof",3963.0
2000,ALB,Albania,81,"Metals; n.e.s., cermets and articles thereof",20200.0
1995,AND,Andorra,81,"Metals; n.e.s., cermets and articles thereof",125.0
1996,AND,Andorra,81,"Metals; n.e.s., cermets and articles thereof",1924.0
1997,AND,Andorra,81,"Metals; n.e.s., cermets and articles thereof",9217.0
1998,AND,Andorra,81,"Metals; n.e.s., cermets and articles thereof",12950.0
1999,AND,Andorra,81,"Metals; n.e.s., cermets and articles thereof",11487.0
2000,AND,Andorra,81,"Metals; n.e.s., cermets and articles thereof",16159.0
1998,ANT,Netherlands Antilles (...2010),81,"Metals; n.e.s., cermets and articles thereof",125145.0
1999,ARE,United Arab Emirates,81,"Metals; n.e.s., cermets and articles thereof",8786025.0
2000,ARE,United Arab Emirates,81,"Metals; n.e.s., cermets and articles thereof",8855962.0
1995,ARG,Argentina,81,"Metals; n.e.s., cermets and articles thereof",13495602.0
1996,ARG,Argentina,81,"Metals; n.e.s., cermets and articles thereof",11677588.0
1997,ARG,Argentina,81,"Metals; n.e.s., cermets and articles thereof",15690737.0
1998,ARG,Argentina,81,"Metals; n.e.s., cermets and articles thereof",15259124.0
1999,ARG,Argentina,81,"Metals; n.e.s., cermets and articles thereof",13126043.0
2000,ARG,Argentina,81,"Metals; n.e.s., cermets and articles thereof",13995392.0
1997,ARM,Armenia,81,"Metals; n.e.s., cermets and articles thereof",10135.0
1999,ARM,Armenia,81,"Metals; n.e.s., cermets and articles thereof",205192.0
2000,ARM,Armenia,81,"Metals; n.e.s., cermets and articles thereof",111340.0
1999,ATG,Antigua and Barbuda,81,"Metals; n.e.s., cermets and articles thereof",4251.0
2000,ATG,Antigua and Barbuda,81,"Metals; n.e.s., cermets and articles thereof",12314.0
1995,AUS,Australia,81,"Metals; n.e.s., cermets and articles thereof",46561885.0
1996,AUS,Australia,81,"Metals; n.e.s., cermets and articles thereof",48079979.0
1997,AUS,Australia,81,"Metals; n.e.s., cermets and articles thereof",57029378.0
1998,AUS,Australia,81,"Metals; n.e.s., cermets and articles thereof",58811584.0
1999,AUS,Australia,81,"Metals; n.e.s., cermets and articles thereof",45744465.0
2000,AUS,Australia,81,"Metals; n.e.s., cermets and articles thereof",42457453.0
1995,AUT,Austria,81,"Metals; n.e.s., cermets and articles thereof",95166256.0
1996,AUT,Austria,81,"Metals; n.e.s., cermets and articles thereof",78196912.0
1997,AUT,Austria,81,"Metals; n.e.s., cermets and articles thereof",59974784.0
1998,AUT,Austria,81,"Metals; n.e.s., cermets and articles thereof",62130000.0
1999,AUT,Austria,81,"Metals; n.e.s., cermets and articles thereof",51311235.0
2000,AUT,Austria,81,"Metals; n.e.s., cermets and articles thereof",74596042.0
1996,AZE,Azerbaijan,81,"Metals; n.e.s., cermets and articles thereof",135647.0
1997,AZE,Azerbaijan,81,"Metals; n.e.s., cermets and articles thereof",85617.0
1998,AZE,Azerbaijan,81,"Metals; n.e.s., cermets and articles thereof",46235.0
1999,AZE,Azerbaijan,81,"Metals; n.e.s., cermets and articles thereof",22048.0
2000,AZE,Azerbaijan,81,"Metals; n.e.s., cermets and articles thereof",240123.0
1995,BDI,Burundi,81,"Metals; n.e.s., cermets and articles thereof",2837.0
2000,BDI,Burundi,81,"Metals; n.e.s., cermets and articles thereof",515.0
1995,BEL,Belgium-Luxembourg (...1998),81,"Metals; n.e.s., cermets and articles thereof",142883792.0
1996,BEL,Belgium-Luxembourg (...1998),81,"Metals; n.e.s., cermets and articles thereof",124929248.0
1997,BEL,Belgium-Luxembourg (...1998),81,"Metals; n.e.s., cermets and articles thereof",138014160.0
1998,BEL,Belgium-Luxembourg (...1998),81,"Metals; n.e.s., cermets and articles thereof",368811200.0
1999,BEL,Belgium,81,"Metals; n.e.s., cermets and articles thereof",311222374.0
2000,BEL,Belgium,81,"Metals; n.e.s., cermets and articles thereof",284750206.0
1999,BEN,Benin,81,"Metals; n.e.s., cermets and articles thereof",1467.0
2000,BEN,Benin,81,"Metals; n.e.s., cermets and articles thereof",2704.0
1995,BFA,Burkina Faso,81,"Metals; n.e.s., cermets and articles thereof",173.0
1996,BFA,Burkina Faso,81,"Metals; n.e.s., cermets and articles thereof",4516.0
1997,BFA,Burkina Faso,81,"Metals; n.e.s., cermets and articles thereof",1581.0
1998,BFA,Burkina Faso,81,"Metals; n.e.s., cermets and articles thereof",6780.0
1999,BFA,Burkina Faso,81,"Metals; n.e.s., cermets and articles thereof",3623.0
2000,BFA,Burkina Faso,81,"Metals; n.e.s., cermets and articles thereof",456.0
1995,BGD,Bangladesh,81,"Metals; n.e.s., cermets and articles thereof",1114077.0
1996,BGD,Bangladesh,81,"Metals; n.e.s., cermets and articles thereof",955049.0
1997,BGD,Bangladesh,81,"Metals; n.e.s., cermets and articles thereof",2143394.0
1998,BGD,Bangladesh,81,"Metals; n.e.s., cermets and articles thereof",1506316.0
2000,BGD,Bangladesh,81,"Metals; n.e.s., cermets and articles thereof",1353257.0
1996,BGR,Bulgaria,81,"Metals; n.e.s., cermets and articles thereof",2742591.0
1997,BGR,Bulgaria,81,"Metals; n.e.s., cermets and articles thereof",2204531.0
1998,BGR,Bulgaria,81,"Metals; n.e.s., cermets and articles thereof",1848696.0
1999,BGR,Bulgaria,81,"Metals; n.e.s., cermets and articles thereof",1417556.0
2000,BGR,Bulgaria,81,"Metals; n.e.s., cermets and articles thereof",1523886.0
2000,BHR,Bahrain,81,"Metals; n.e.s., cermets and articles thereof",5757320.0
1997,BHS,Bahamas,81,"Metals; n.e.s., cermets and articles thereof",186692.0
1998,BHS,Bahamas,81,"Metals; n.e.s., cermets and articles thereof",126024.0
1999,BHS,Bahamas,81,"Metals; n.e.s., cermets and articles thereof",169918.0
2000,BHS,Bahamas,81,"Metals; n.e.s., cermets and articles thereof",166550.0
1998,BLR,Belarus,81,"Metals; n.e.s., cermets and articles thereof",4632370.0
1999,BLR,Belarus,81,"Metals; n.e.s., cermets and articles thereof",2980273.0
2000,BLR,Belarus,81,"Metals; n.e.s., cermets and articles thereof",4404200.0
1995,BLZ,Belize,81,"Metals; n.e.s., cermets and articles thereof",9810.0
1996,BLZ,Belize,81,"Metals; n.e.s., cermets and articles thereof",8756.0
1997,BLZ,Belize,81,"Metals; n.e.s., cermets and articles thereof",1495.0
1998,BLZ,Belize,81,"Metals; n.e.s., cermets and articles thereof",12918.0
1999,BLZ,Belize,81,"Metals; n.e.s., cermets and articles thereof",1141.0
2000,BLZ,Belize,81,"Metals; n.e.s., cermets and articles thereof",3296.0
1995,BMU,Bermuda,81,"Metals; n.e.s., cermets and articles thereof",245694.0
1997,BMU,Bermuda,81,"Metals; n.e.s., cermets and articles thereof",81086.0
1995,BOL,Bolivia (Plurinational State of),81,"Metals; n.e.s., cermets and articles thereof",3191.0
1996,BOL,Bolivia (Plurinational State of),81,"Metals; n.e.s., cermets and articles thereof",15441.0
1997,BOL,Bolivia (Plurinational State of),81,"Metals; n.e.s., cermets and articles thereof",47772.0
1998,BOL,Bolivia (Plurinational State of),81,"Metals; n.e.s., cermets and articles thereof",5143.0
1999,BOL,Bolivia (Plurinational State of),81,"Metals; n.e.s., cermets and articles thereof",13545.0
2000,BOL,Bolivia (Plurinational State of),81,"Metals; n.e.s., cermets and articles thereof",36812.0
1995,BRA,Brazil,81,"Metals; n.e.s., cermets and articles thereof",70510848.0
1996,BRA,Brazil,81,"Metals; n.e.s., cermets and articles thereof",68449864.0
1997,BRA,Brazil,81,"Metals; n.e.s., cermets and articles thereof",89028872.0
1998,BRA,Brazil,81,"Metals; n.e.s., cermets and articles thereof",71571344.0
1999,BRA,Brazil,81,"Metals; n.e.s., cermets and articles thereof",68909267.0
2000,BRA,Brazil,81,"Metals; n.e.s., cermets and articles thereof",72377594.0
1997,BRB,Barbados,81,"Metals; n.e.s., cermets and articles thereof",469228.0
1998,BRB,Barbados,81,"Metals; n.e.s., cermets and articles thereof",316529.0
1999,BRB,Barbados,81,"Metals; n.e.s., cermets and articles thereof",396861.0
2000,BRB,Barbados,81,"Metals; n.e.s., cermets and articles thereof",656366.0
1997,BRN,Brunei Darussalam,81,"Metals; n.e.s., cermets and articles thereof",88766.0
1998,BRN,Brunei Darussalam,81,"Metals; n.e.s., cermets and articles thereof",44157.0
2000,BWA,Botswana,81,"Metals; n.e.s., cermets and articles thereof",154405.0
1995,CAN,Canada,81,"Metals; n.e.s., cermets and articles thereof",195447568.0
1996,CAN,Canada,81,"Metals; n.e.s., cermets and articles thereof",224160901.0
1997,CAN,Canada,81,"Metals; n.e.s., cermets and articles thereof",244177956.0
1998,CAN,Canada,81,"Metals; n.e.s., cermets and articles thereof",231956656.0
